Debtor,Tuition fees up to date,Scholarship holder,Admission grade,Previous qualification (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Mother's qualification,Father's qualification,Target,Mother_qual_code,Father_qual_code,Mother_qual_label,Father_qual_label
No,Yes,No,127.3,122.0,0,0,0,0.0,19,12,Dropout,19,12,Basic Education - 3rd Cycle,11th Year - Other
No,No,No,142.5,160.0,6,6,6,14.0,1,3,Graduate,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,No,No,124.8,122.0,6,0,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,119.6,122.0,6,8,6,13.428571428571429,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,141.5,100.0,6,9,5,12.333333333333334,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,No,114.8,133.1,5,10,5,11.857142857142858,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,128.4,142.0,7,9,7,13.3,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,No,No,113.1,119.0,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,129.3,137.0,6,8,6,13.875,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,No,No,123.0,138.0,6,9,5,11.4,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,130.6,139.0,6,6,6,12.333333333333334,38,19,Graduate,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
No,Yes,Yes,119.3,136.0,8,8,7,13.214285714285714,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,130.2,133.0,6,6,0,0.0,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,111.8,110.0,6,7,6,10.571428571428571,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,137.1,149.0,5,7,4,13.25,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,120.7,127.0,6,6,5,13.2,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,137.4,137.0,6,10,1,12.0,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,127.3,135.0,7,8,7,13.30625,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,136.3,137.0,5,8,4,12.5,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,124.6,140.0,7,7,6,11.666666666666666,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,120.3,122.0,0,0,0,0.0,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,121.8,127.0,7,14,7,11.4375,1,38,Enrolled,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,125.5,142.0,8,12,7,12.857142857142858,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,114.9,125.0,6,8,6,13.375,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,123.9,126.0,7,8,6,13.296666666666669,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
Yes,Yes,Yes,157.0,151.0,6,8,5,11.6,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,116.4,115.0,6,9,6,11.375,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,131.0,138.0,5,9,5,12.666666666666666,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,122.1,135.0,5,6,5,12.0,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,118.8,127.0,7,9,6,12.933333333333332,3,3,Enrolled,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,150.0,150.0,6,15,5,11.857142857142858,4,5,Enrolled,4,5,Master's Degree,Doctorate
No,Yes,No,130.0,125.0,6,7,6,12.833333333333334,42,3,Graduate,42,3,Professional Higher Technical Course,Higher Education - Degree
No,No,No,138.8,143.0,5,9,3,11.333333333333334,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,134.5,138.0,6,6,6,12.666666666666666,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,131.4,130.0,5,6,5,12.4,2,37,Graduate,2,37,Bachelor's Degree,Basic Education - 1st Cycle (4th/5th)
Yes,No,No,102.5,130.0,7,7,0,0.0,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,128.8,133.1,5,0,0,0.0,34,37,Dropout,34,37,Unknown,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,122.9,140.0,5,10,1,10.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,113.9,120.0,5,8,5,11.0,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
Yes,No,No,120.0,120.0,6,13,3,11.666666666666666,4,4,Dropout,4,4,Master's Degree,Master's Degree
Yes,Yes,No,121.1,126.0,6,6,4,12.75,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,120.4,133.0,5,5,5,14.8,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,100.6,103.0,7,9,5,13.928,1,3,Graduate,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,No,No,121.4,120.0,6,7,4,13.0,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,109.7,133.1,5,0,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,134.1,154.0,5,9,2,11.5,38,38,Enrolled,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,127.6,130.0,6,6,6,11.666666666666666,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,132.4,132.0,7,8,6,13.516666666666666,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
